date,population
2014-10-09,79229
2014-10-28,80230
2014-11-11,81321
2014-11-20,81776
2014-12-07,82818
2014-12-21,82818
2014-12-23,82818
2014-12-28,82818
2014-12-29,84513
2014-12-30,84615
2015-01-04,84786
2015-01-05,84761
2015-01-06,84808
2015-01-07,84729
2015-01-13,84747
2015-01-14,84767
2015-01-15,84588
2015-01-18,84466
2015-01-19,84363
2015-01-20,84250
2015-01-21,84230
2015-01-22,84125
2015-01-26,83994
2015-02-03,83772
2015-02-08,83773
2015-02-09,83806
2015-02-10,83830
2015-02-11,83822
2015-02-12,83782
2015-02-15,83744
2015-02-16,83819
2015-02-22,83807
2015-02-23,83817
2015-02-24,83820
2015-02-25,83827
2015-03-01,83854
2015-03-02,83856
2015-03-04,83880
2015-03-05,83820
2015-03-08,83813
2015-03-10,83802
2015-03-11,83827
2015-03-12,83811
2015-03-15,83813
2015-03-17,83756
2015-03-18,83720
2015-03-22,83615
2015-03-23,83549
2015-03-24,83512
2015-03-26,83496
2015-04-08,83501
2015-05-06,82841
2015-05-28,82107
2015-06-17,81405
2015-08-13,80244
2015-08-16,80202
2015-08-23,79900
2015-09-06,79695
2015-09-17,79472
2015-10-04,79333
2015-10-19,79284
2015-11-02,79150
2015-11-17,79140
